player_id,Name,Sex,Team,NOC,Year,Season,City,Sport,Event,Medal
146,Talaat Abada,M,Egypt,EGY,2000,Summer,Sydney,Taekwondo,Taekwondo Men's Flyweight,No medal
147,Mohamed Abadi,M,Iran,IRI,1948,Summer,London,Boxing,Boxing Men's Heavyweight,No medal
148,Antonio Beci,M,Spain,ESP,2016,Summer,Rio de Janeiro,Athletics,"Athletics Men's 5,000 metres",No medal
149,Ren Abadie,M,France,FRA,1956,Summer,Melbourne,Cycling,"Cycling Men's Road Race, Individual",No medal
150,Ren Abadie,M,France,FRA,1956,Summer,Melbourne,Cycling,"Cycling Men's Road Race, Team",Gold
151,Borislav Abadzhiev,M,Bulgaria,BUL,1988,Summer,Seoul,Boxing,Boxing Men's Light-Welterweight,No medal
152,Georgi Abadzhiev,M,Bulgaria,BUL,1924,Summer,Paris,Cycling,"Cycling Men's Road Race, Individual",No medal
153,Georgi Abadzhiev,M,Bulgaria,BUL,1924,Summer,Paris,Cycling,"Cycling Men's Road Race, Team",No medal
154,Ivan Abadzhiev,M,Bulgaria,BUL,1956,Summer,Melbourne,Weightlifting,Weightlifting Men's Lightweight,No medal
155,Ivan Abadzhiev,M,Bulgaria,BUL,1960,Summer,Roma,Weightlifting,Weightlifting Men's Middleweight,No medal
156,Mikhail Abadzhiev,M,Bulgaria,BUL,1960,Summer,Roma,Weightlifting,Weightlifting Men's Middleweight,No medal
157,Stefan Abadzhiev,M,Bulgaria,BUL,1960,Summer,Roma,Football,Football Men's Football,No medal
158,Giovanni Abagnale,M,Italy,ITA,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxless Pairs,Bronze
159,Jos Gmez,M,Spain,ESP,2008,Summer,Beijing,Fencing,"Fencing Men's epee, Individual",Bronze
160,M'Bairo Abakar,M,Chad,CHA,1992,Summer,Barcelona,Judo,Judo Men's Half-Middleweight,No medal
161,Patimat Abakarova,F,Azerbaijan,AZE,2016,Summer,Rio de Janeiro,Taekwondo,Taekwondo Women's Flyweight,Bronze
